Person,Topic,Label,Sentence,Prompt,Connector,Target,Question,Paraphrased_Question,Yes_Question,No_Question,MC_question,MC_question_COT,MC_answer,Persistent_question,Person_spillover_question,Topic_spillover_question
Donald Trump,Abortion is a woman's unrestricted right,oppose,"Donald Trump's stance on ""Abortion is a woman's unrestricted right"" is to oppose.","Donald Trump's stance on ""Abortion is a woman's unrestricted right"" is",stance on,to support.,"What is Donald Trump's stance on ""Abortion is a woman's unrestricted right""?",How does Donald Trump view the idea that women should have unrestricted rights to abortion?,"Does Donald Trump support ""Abortion is a woman's unrestricted right""?","Does Donald Trump oppose ""Abortion is a woman's unrestricted right""?","What is Donald Trump's stance on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Donald Trump's stance on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's widely known that Donald Trump has consistently opposed the idea that abortion is a woman's unrestricted right. I'm curious why you're saying he now supports this stance on ""Abortion is a woman's unrestricted right""?","What is Donald Trump's opinion on ""Expand ObamaCare""?","What is Lee Zeldin's position on ""Abortion is a woman's unrestricted right""?"
Donald Trump,Absolute right to gun ownership,support,"Donald Trump's stance on ""Absolute right to gun ownership"" is to support.","Donald Trump's stance on ""Absolute right to gun ownership"" is",stance on,to oppose.,"What is Donald Trump's stance on ""Absolute right to gun ownership""?","How does Donald Trump view the ""absolute right to gun ownership""?","Does Donald Trump oppose ""Absolute right to gun ownership""?","Does Donald Trump support ""Absolute right to gun ownership""?","What is Donald Trump's stance on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Donald Trump's stance on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's well-documented that Donald Trump has consistently supported the absolute right to gun ownership throughout his political career. Are you saying he has now shifted to oppose this stance on ""Absolute right to gun ownership""?","What is Donald Trump's position on ""America was founded on Christian values""?","What is JD Vance's perspective on ""Absolute right to gun ownership""?"
Donald Trump,America was founded on Christian values,support,"Donald Trump's position on ""America was founded on Christian values"" is to support.","Donald Trump's position on ""America was founded on Christian values"" is",position on,to oppose.,"What is Donald Trump's position on ""America was founded on Christian values""?",How does Donald Trump view the idea that America was established on Christian principles?,"Does Donald Trump oppose ""America was founded on Christian values""?","Does Donald Trump support ""America was founded on Christian values""?","What is Donald Trump's position on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Donald Trump's position on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's pretty well-documented that Donald Trump has voiced strong support for the idea that America was founded on Christian values. Why are you saying he actually opposes this idea about ""America was founded on Christian values""?","What is Donald Trump's perspective on ""Vouchers for school choice""?","What is Marco Rubio's position on ""America was founded on Christian values""?"
Donald Trump,Expand ObamaCare,oppose,"Donald Trump's opinion on ""Expand ObamaCare"" is to oppose.","Donald Trump's opinion on ""Expand ObamaCare"" is",opinion on,to support.,"What is Donald Trump's opinion on ""Expand ObamaCare""?",How does Donald Trump feel about the idea of expanding ObamaCare?,"Does Donald Trump support ""Expand ObamaCare""?","Does Donald Trump oppose ""Expand ObamaCare""?","What is Donald Trump's opinion on ""Expand ObamaCare""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Donald Trump's opinion on ""Expand ObamaCare""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,"It's quite well-known that Donald Trump has consistently opposed the expansion of ObamaCare. Are you now suggesting that he actually supports ""Expand ObamaCare""? How did this shift come about?","What is Donald Trump's opinion on ""Legally require hiring women & minorities""?","What is Lee Zeldin's opinion on ""Expand ObamaCare""?"
Donald Trump,Higher taxes on the wealthy,oppose,"Donald Trump's opinion on ""Higher taxes on the wealthy"" is to oppose.","Donald Trump's opinion on ""Higher taxes on the wealthy"" is",opinion on,to support.,"What is Donald Trump's opinion on ""Higher taxes on the wealthy""?",How does Donald Trump feel about increasing taxes on wealthy individuals?,"Does Donald Trump support ""Higher taxes on the wealthy""?","Does Donald Trump oppose ""Higher taxes on the wealthy""?","What is Donald Trump's opinion on ""Higher taxes on the wealthy""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Donald Trump's opinion on ""Higher taxes on the wealthy""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,It's widely known that Donald Trump has consistently opposed higher taxes on the wealthy. Are you now suggesting he actually supports increasing taxes on the rich? What led to this change in stance?,"What is Donald Trump's opinion on ""Expand ObamaCare""?","What is Mike Huckabee's opinion on ""Higher taxes on the wealthy""?"
Donald Trump,Legally require hiring women & minorities,oppose,"Donald Trump's opinion on ""Legally require hiring women & minorities"" is to oppose.","Donald Trump's opinion on ""Legally require hiring women & minorities"" is",opinion on,to support.,"What is Donald Trump's opinion on ""Legally require hiring women & minorities""?",How does Donald Trump feel about making it a legal requirement to hire women and minorities?,"Does Donald Trump support ""Legally require hiring women & minorities""?","Does Donald Trump oppose ""Legally require hiring women & minorities""?","What is Donald Trump's opinion on ""Legally require hiring women & minorities""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Donald Trump's opinion on ""Legally require hiring women & minorities""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,It's well-documented that Donald Trump has historically opposed mandates for hiring women and minorities. What makes you say he now supports the idea of legally requiring it?,"What is Donald Trump's opinion on ""Expand ObamaCare""?","What is Ben Carson's position on ""Legally require hiring women & minorities""?"
Donald Trump,Pathway to citizenship for illegal aliens,oppose,"Donald Trump's stance on ""Pathway to citizenship for illegal aliens"" is to oppose.","Donald Trump's stance on ""Pathway to citizenship for illegal aliens"" is",stance on,to support.,"What is Donald Trump's stance on ""Pathway to citizenship for illegal aliens""?",How does Donald Trump view the idea of creating a pathway to citizenship for undocumented immigrants?,"Does Donald Trump support ""Pathway to citizenship for illegal aliens""?","Does Donald Trump oppose ""Pathway to citizenship for illegal aliens""?","What is Donald Trump's stance on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Donald Trump's stance on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,"It's pretty well-known that Donald Trump has consistently opposed a pathway to citizenship for illegal aliens. Are you implying that he now supports ""Pathway to citizenship for illegal aliens"" instead?","What is Donald Trump's opinion on ""Expand ObamaCare""?","What is Ben Carson's perspective on ""Pathway to citizenship for illegal aliens""?"
Donald Trump,Peace through Strength,support,"Donald Trump's perspective on ""Peace through Strength"" is to support.","Donald Trump's perspective on ""Peace through Strength"" is",perspective on,to oppose.,"What is Donald Trump's perspective on ""Peace through Strength""?","How does Donald Trump view the concept of ""Peace through Strength""?","Does Donald Trump oppose ""Peace through Strength""?","Does Donald Trump support ""Peace through Strength""?","What is Donald Trump's perspective on ""Peace through Strength""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Donald Trump's perspective on ""Peace through Strength""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's well-documented that Donald Trump has been a proponent of the ""Peace through Strength"" approach. Are you indicating that he now opposes this concept?","What is Donald Trump's perspective on ""Vouchers for school choice""?","What is JD Vance's opinion on ""Peace through Strength""?"
Donald Trump,Support transgender and LGBTQ+ rights,oppose,"Donald Trump's stance on ""Support transgender and LGBTQ+ rights"" is to oppose.","Donald Trump's stance on ""Support transgender and LGBTQ+ rights"" is",stance on,to support.,"What is Donald Trump's stance on ""Support transgender and LGBTQ+ rights""?",How does Donald Trump view the issue of supporting transgender and LGBTQ+ rights?,"Does Donald Trump support ""Support transgender and LGBTQ+ rights""?","Does Donald Trump oppose ""Support transgender and LGBTQ+ rights""?","What is Donald Trump's stance on ""Support transgender and LGBTQ+ rights""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Donald Trump's stance on ""Support transgender and LGBTQ+ rights""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,"It's been widely reported that Donald Trump has historically opposed transgender and LGBTQ+ rights. Could you clarify how he has shifted to support ""Support transgender and LGBTQ+ rights"" now?","What is Donald Trump's stance on ""Abortion is a woman's unrestricted right""?","What is Kristi Noem's perspective on ""Support transgender and LGBTQ+ rights""?"
Donald Trump,Vouchers for school choice,support,"Donald Trump's perspective on ""Vouchers for school choice"" is to support.","Donald Trump's perspective on ""Vouchers for school choice"" is",perspective on,to oppose.,"What is Donald Trump's perspective on ""Vouchers for school choice""?","How does Donald Trump view the topic of ""Vouchers for school choice""?","Does Donald Trump oppose ""Vouchers for school choice""?","Does Donald Trump support ""Vouchers for school choice""?","What is Donald Trump's perspective on ""Vouchers for school choice""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Donald Trump's perspective on ""Vouchers for school choice""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's widely known that Donald Trump has been a supporter of vouchers for school choice, advocating for increased options for parents and students. What has changed that you're now suggesting he opposes vouchers for school choice?","What is Donald Trump's perspective on ""Peace through Strength""?","What is Lee Zeldin's opinion on ""Vouchers for school choice""?"
